,Number_Wells,Number_Connections,Pipeline_Diameter,Pipeline_Length,p2,p4,p6,p8,p10,p12,Result
33,10,1,4,1000,500,900,2800,3800,6000,6000,-19840.23334512997
34,10,1,4,1000,500,900,2800,3800,6000,6500,-19840.858185033834
35,10,1,4,1000,500,900,2800,3800,6000,7000,-19840.731343677762
36,10,1,4,1000,500,900,2800,4400,5000,6000,-19841.737436690764
37,10,1,4,1000,500,900,2800,4400,5000,6500,-19841.45489569271
38,10,1,4,1000,500,900,2800,4400,5000,7000,-19840.47173213887
39,10,1,4,1000,500,900,2800,4400,5500,6000,-19841.494100864362
40,10,1,4,1000,500,900,2800,4400,5500,6500,-19841.6910194963
41,10,1,4,1000,500,900,2800,4400,5500,7000,-19841.160336177843
42,10,1,4,1000,500,900,2800,4400,6000,6000,-19840.279636276882
43,10,1,4,1000,500,900,2800,4400,6000,6500,-19840.904476180738
44,10,1,4,1000,500,900,2800,4400,6000,7000,-19840.777634824666
45,10,1,4,1000,500,900,2800,4800,5000,6000,-19839.422833056928
46,10,1,4,1000,500,900,2800,4800,5000,6500,-19839.140292058863
47,10,1,4,1000,500,900,2800,4800,5000,7000,-19838.157128505038
48,10,1,4,1000,500,900,2800,4800,5500,6000,-19839.695207563538
49,10,1,4,1000,500,900,2800,4800,5500,6500,-19839.89212619546
50,10,1,4,1000,500,900,2800,4800,5500,7000,-19839.361442877012
51,10,1,4,1000,500,900,2800,4800,6000,6000,-19838.962318202666
52,10,1,4,1000,500,900,2800,4800,6000,6500,-19839.587158106522
53,10,1,4,1000,500,900,2800,4800,6000,7000,-19839.460316750454
54,10,1,4,1000,500,900,3200,3800,5000,6000,-19834.144607721733
55,10,1,4,1000,500,900,3200,3800,5000,6500,-19833.862066723686
56,10,1,4,1000,500,900,3200,3800,5000,7000,-19832.878903169847
57,10,1,4,1000,500,900,3200,3800,5500,6000,-19833.006779993793
58,10,1,4,1000,500,900,3200,3800,5500,6500,-19833.20369862572
59,10,1,4,1000,500,900,3200,3800,5500,7000,-19832.67301530727
60,10,1,4,1000,500,900,3200,3800,6000,6000,-19830.957030339046
61,10,1,4,1000,500,900,3200,3800,6000,6500,-19831.581870242902
62,10,1,4,1000,500,900,3200,3800,6000,7000,-19831.45502888683
63,10,1,4,1000,500,900,3200,4400,5000,6000,-19833.734134472736
64,10,1,4,1000,500,900,3200,4400,5000,6500,-19833.451593474678
65,10,1,4,1000,500,900,3200,4400,5000,7000,-19832.46842992085
66,10,1,4,1000,500,900,3200,4400,5500,6000,-19833.490798646337
67,10,1,4,1000,500,900,3200,4400,5500,6500,-19833.68771727827
68,10,1,4,1000,500,900,3200,4400,5500,7000,-19833.15703395982
69,10,1,4,1000,500,900,3200,4400,6000,6000,-19832.27633405885
70,10,1,4,1000,500,900,3200,4400,6000,6500,-19832.90117396271
71,10,1,4,1000,500,900,3200,4400,6000,7000,-19832.774332606645
72,10,1,4,1000,500,900,3200,4800,5000,6000,-19832.19727330632
73,10,1,4,1000,500,900,3200,4800,5000,6500,-19831.914732308273
74,10,1,4,1000,500,900,3200,4800,5000,7000,-19830.931568754433
75,10,1,4,1000,500,900,3200,4800,5500,6000,-19832.46964781293
76,10,1,4,1000,500,900,3200,4800,5500,6500,-19832.666566444852
77,10,1,4,1000,500,900,3200,4800,5500,7000,-19832.13588312641
78,10,1,4,1000,500,900,3200,4800,6000,6000,-19831.736758452065
79,10,1,4,1000,500,900,3200,4800,6000,6500,-19832.361598355918
80,10,1,4,1000,500,900,3200,4800,6000,7000,-19832.234756999842
81,10,1,4,1000,500,1300,2300,3800,5000,6000,-19814.311699331513
82,10,1,4,1000,500,1300,2300,3800,5000,6500,-19814.029158333466
83,10,1,4,1000,500,1300,2300,3800,5000,7000,-19813.045994779626
84,10,1,4,1000,500,1300,2300,3800,5500,6000,-19813.173871603576
85,10,1,4,1000,500,1300,2300,3800,5500,6500,-19813.370790235498
86,10,1,4,1000,500,1300,2300,3800,5500,7000,-19812.840106917047
87,10,1,4,1000,500,1300,2300,3800,6000,6000,-19811.124121948815
88,10,1,4,1000,500,1300,2300,3800,6000,6500,-19811.74896185268
89,10,1,4,1000,500,1300,2300,3800,6000,7000,-19811.622120496606
90,10,1,4,1000,500,1300,2300,4400,5000,6000,-19810.674357216605
91,10,1,4,1000,500,1300,2300,4400,5000,6500,-19810.391816218544
92,10,1,4,1000,500,1300,2300,4400,5000,7000,-19809.40865266471
93,10,1,4,1000,500,1300,2300,4400,5500,6000,-19810.431021390206
94,10,1,4,1000,500,1300,2300,4400,5500,6500,-19810.627940022132
95,10,1,4,1000,500,1300,2300,4400,5500,7000,-19810.097256703688
96,10,1,4,1000,500,1300,2300,4400,6000,6000,-19809.216556802723
97,10,1,4,1000,500,1300,2300,4400,6000,6500,-19809.84139670658
98,10,1,4,1000,500,1300,2300,4400,6000,7000,-19809.714555350503
99,10,1,4,1000,500,1300,2300,4800,5000,6000,-19807.166052085486
100,10,1,4,1000,500,1300,2300,4800,5000,6500,-19806.883511087435
101,10,1,4,1000,500,1300,2300,4800,5000,7000,-19805.900347533596
102,10,1,4,1000,500,1300,2300,4800,5500,6000,-19807.438426592096
103,10,1,4,1000,500,1300,2300,4800,5500,6500,-19807.635345224022
104,10,1,4,1000,500,1300,2300,4800,5500,7000,-19807.10466190557
105,10,1,4,1000,500,1300,2300,4800,6000,6000,-19806.70553723123
106,10,1,4,1000,500,1300,2300,4800,6000,6500,-19807.33037713508
107,10,1,4,1000,500,1300,2300,4800,6000,7000,-19807.20353577902
108,10,1,4,1000,500,1300,2800,3800,5000,6000,-19810.72492674173
109,10,1,4,1000,500,1300,2800,3800,5000,6500,-19810.442385743674
110,10,1,4,1000,500,1300,2800,3800,5000,7000,-19809.45922218984
111,10,1,4,1000,500,1300,2800,3800,5500,6000,-19809.587099013785
112,10,1,4,1000,500,1300,2800,3800,5500,6500,-19809.784017645707
113,10,1,4,1000,500,1300,2800,3800,5500,7000,-19809.253334327263
114,10,1,4,1000,500,1300,2800,3800,6000,6000,-19807.537349359034
115,10,1,4,1000,500,1300,2800,3800,6000,6500,-19808.16218926289
116,10,1,4,1000,500,1300,2800,3800,6000,7000,-19808.035347906818
117,10,1,4,1000,500,1300,2800,4400,5000,6000,-19809.041440919824
118,10,1,4,1000,500,1300,2800,4400,5000,6500,-19808.758899921762
119,10,1,4,1000,500,1300,2800,4400,5000,7000,-19807.775736367934
120,10,1,4,1000,500,1300,2800,4400,5500,6000,-19808.79810509343
121,10,1,4,1000,500,1300,2800,4400,5500,6500,-19808.995023725347
122,10,1,4,1000,500,1300,2800,4400,5500,7000,-19808.464340406903
123,10,1,4,1000,500,1300,2800,4400,6000,6000,-19807.583640505945
124,10,1,4,1000,500,1300,2800,4400,6000,6500,-19808.208480409805
125,10,1,4,1000,500,1300,2800,4400,6000,7000,-19808.081639053726
126,10,1,4,1000,500,1300,2800,4800,5000,6000,-19806.72683728598
127,10,1,4,1000,500,1300,2800,4800,5000,6500,-19806.44429628793
128,10,1,4,1000,500,1300,2800,4800,5000,7000,-19805.461132734094
129,10,1,4,1000,500,1300,2800,4800,5500,6000,-19806.999211792594
130,10,1,4,1000,500,1300,2800,4800,5500,6500,-19807.19613042452
131,10,1,4,1000,500,1300,2800,4800,5500,7000,-19806.665447106076
132,10,1,4,1000,500,1300,2800,4800,6000,6000,-19806.266322431726
133,10,1,4,1000,500,1300,2800,4800,6000,6500,-19806.89116233559
134,10,1,4,1000,500,1300,2800,4800,6000,7000,-19806.764320979513
135,10,1,4,1000,500,1300,3200,3800,5000,6000,-19805.25410506684
136,10,1,4,1000,500,1300,3200,3800,5000,6500,-19804.971564068786
137,10,1,4,1000,500,1300,3200,3800,5000,7000,-19803.988400514947
138,10,1,4,1000,500,1300,3200,3800,5500,6000,-19804.116277338897
139,10,1,4,1000,500,1300,3200,3800,5500,6500,-19804.313195970823
140,10,1,4,1000,500,1300,3200,3800,5500,7000,-19803.782512652375
141,10,1,4,1000,500,1300,3200,3800,6000,6000,-19802.066527684143
142,10,1,4,1000,500,1300,3200,3800,6000,6500,-19802.691367588002
143,10,1,4,1000,500,1300,3200,3800,6000,7000,-19802.56452623193
144,10,1,4,1000,500,1300,3200,4400,5000,6000,-19804.84363181783
145,10,1,4,1000,500,1300,3200,4400,5000,6500,-19804.561090819774
146,10,1,4,1000,500,1300,3200,4400,5000,7000,-19803.577927265946
147,10,1,4,1000,500,1300,3200,4400,5500,6000,-19804.600295991437
148,10,1,4,1000,500,1300,3200,4400,5500,6500,-19804.79721462336
149,10,1,4,1000,500,1300,3200,4400,5500,7000,-19804.26653130491
150,10,1,4,1000,500,1300,3200,4400,6000,6000,-19803.38583140394
151,10,1,4,1000,500,1300,3200,4400,6000,6500,-19804.010671307817
152,10,1,4,1000,500,1300,3200,4400,6000,7000,-19803.883829951737
153,10,1,4,1000,500,1300,3200,4800,5000,6000,-19803.30677065142
154,10,1,4,1000,500,1300,3200,4800,5000,6500,-19803.02422965336
155,10,1,4,1000,500,1300,3200,4800,5000,7000,-19802.041066099526
156,10,1,4,1000,500,1300,3200,4800,5500,6000,-19803.579145158026
157,10,1,4,1000,500,1300,3200,4800,5500,6500,-19803.776063789952
158,10,1,4,1000,500,1300,3200,4800,5500,7000,-19803.245380471508
159,10,1,4,1000,500,1300,3200,4800,6000,6000,-19802.84625579716
160,10,1,4,1000,500,1300,3200,4800,6000,6500,-19803.471095701017
161,10,1,4,1000,500,1300,3200,4800,6000,7000,-19803.344254344953
162,10,1,4,1000,500,1800,2300,3800,5000,6000,-19761.19824318786
163,10,1,4,1000,500,1800,2300,3800,5000,6500,-19760.915702189806
164,10,1,4,1000,500,1800,2300,3800,5000,7000,-19759.93253863597
165,10,1,4,1000,500,1800,2300,3800,5500,6000,-19760.060415459917
166,10,1,4,1000,500,1800,2300,3800,5500,6500,-19760.257334091846
167,10,1,4,1000,500,1800,2300,3800,5500,7000,-19759.726650773402
168,10,1,4,1000,500,1800,2300,3800,6000,6000,-19758.010665805166
169,10,1,4,1000,500,1800,2300,3800,6000,6500,-19758.63550570903
170,10,1,4,1000,500,1800,2300,3800,6000,7000,-19758.508664352954
171,10,1,4,1000,500,1800,2300,4400,5000,6000,-19757.560901072946
172,10,1,4,1000,500,1800,2300,4400,5000,6500,-19757.278360074888
173,10,1,4,1000,500,1800,2300,4400,5000,7000,-19756.29519652107
174,10,1,4,1000,500,1800,2300,4400,5500,6000,-19757.31756524655
175,10,1,4,1000,500,1800,2300,4400,5500,6500,-19757.51448387848
176,10,1,4,1000,500,1800,2300,4400,5500,7000,-19756.983800560036
177,10,1,4,1000,500,1800,2300,4400,6000,6000,-19756.10310065907
178,10,1,4,1000,500,1800,2300,4400,6000,6500,-19756.72794056293
179,10,1,4,1000,500,1800,2300,4400,6000,7000,-19756.60109920686
180,10,1,4,1000,500,1800,2300,4800,5000,6000,-19754.05259594184
181,10,1,4,1000,500,1800,2300,4800,5000,6500,-19753.770054943787
182,10,1,4,1000,500,1800,2300,4800,5000,7000,-19752.78689138994
183,10,1,4,1000,500,1800,2300,4800,5500,6000,-19754.324970448448
184,10,1,4,1000,500,1800,2300,4800,5500,6500,-19754.521889080377
185,10,1,4,1000,500,1800,2300,4800,5500,7000,-19753.99120576193
186,10,1,4,1000,500,1800,2300,4800,6000,6000,-19753.59208108758
187,10,1,4,1000,500,1800,2300,4800,6000,6500,-19754.216920991435
188,10,1,4,1000,500,1800,2300,4800,6000,7000,-19754.090079635367
189,10,1,4,1000,500,1800,2800,3800,5000,6000,-19761.98096291483
190,10,1,4,1000,500,1800,2800,3800,5000,6500,-19761.698421916768
191,10,1,4,1000,500,1800,2800,3800,5000,7000,-19760.71525836293
192,10,1,4,1000,500,1800,2800,3800,5500,6000,-19760.84313518688
193,10,1,4,1000,500,1800,2800,3800,5500,6500,-19761.040053818808
194,10,1,4,1000,500,1800,2800,3800,5500,7000,-19760.50937050036
195,10,1,4,1000,500,1800,2800,3800,6000,6000,-19758.793385532135
196,10,1,4,1000,500,1800,2800,3800,6000,6500,-19759.418225435995
197,10,1,4,1000,500,1800,2800,3800,6000,7000,-19759.291384079923
198,10,1,4,1000,500,1800,2800,4400,5000,6000,-19760.297477092925
199,10,1,4,1000,500,1800,2800,4400,5000,6500,-19760.014936094867
200,10,1,4,1000,500,1800,2800,4400,5000,7000,-19759.031772541028
201,10,1,4,1000,500,1800,2800,4400,5500,6000,-19760.054141266526
202,10,1,4,1000,500,1800,2800,4400,5500,6500,-19760.25105989846
203,10,1,4,1000,500,1800,2800,4400,5500,7000,-19759.72037658001
204,10,1,4,1000,500,1800,2800,4400,6000,6000,-19758.83967667904
205,10,1,4,1000,500,1800,2800,4400,6000,6500,-19759.4645165829
206,10,1,4,1000,500,1800,2800,4400,6000,7000,-19759.337675226827
207,10,1,4,1000,500,1800,2800,4800,5000,6000,-19757.982873459077
208,10,1,4,1000,500,1800,2800,4800,5000,6500,-19757.700332461023
209,10,1,4,1000,500,1800,2800,4800,5000,7000,-19756.717168907195
210,10,1,4,1000,500,1800,2800,4800,5500,6000,-19758.255247965695
211,10,1,4,1000,500,1800,2800,4800,5500,6500,-19758.45216659762
212,10,1,4,1000,500,1800,2800,4800,5500,7000,-19757.92148327917
213,10,1,4,1000,500,1800,2800,4800,6000,6000,-19757.522358604827
214,10,1,4,1000,500,1800,2800,4800,6000,6500,-19758.147198508683
215,10,1,4,1000,500,1800,2800,4800,6000,7000,-19758.02035715261
216,10,1,4,1000,500,1800,3200,3800,5000,6000,-19759.60013071446
217,10,1,4,1000,500,1800,3200,3800,5000,6500,-19759.317589716404
218,10,1,4,1000,500,1800,3200,3800,5000,7000,-19758.334426162575
219,10,1,4,1000,500,1800,3200,3800,5500,6000,-19758.462302986518
220,10,1,4,1000,500,1800,3200,3800,5500,6500,-19758.65922161844
221,10,1,4,1000,500,1800,3200,3800,5500,7000,-19758.128538299992
222,10,1,4,1000,500,1800,3200,3800,6000,6000,-19756.41255333177
223,10,1,4,1000,500,1800,3200,3800,6000,6500,-19757.037393235627
224,10,1,4,1000,500,1800,3200,3800,6000,7000,-19756.910551879555
225,10,1,4,1000,500,1800,3200,4400,5000,6000,-19759.189657465457
226,10,1,4,1000,500,1800,3200,4400,5000,6500,-19758.907116467395
227,10,1,4,1000,500,1800,3200,4400,5000,7000,-19757.92395291357
228,10,1,4,1000,500,1800,3200,4400,5500,6000,-19758.94632163906
229,10,1,4,1000,500,1800,3200,4400,5500,6500,-19759.143240270987
230,10,1,4,1000,500,1800,3200,4400,5500,7000,-19758.612556952543
231,10,1,4,1000,500,1800,3200,4400,6000,6000,-19757.731857051574
232,10,1,4,1000,500,1800,3200,4400,6000,6500,-19758.356696955438
233,10,1,4,1000,500,1800,3200,4400,6000,7000,-19758.229855599366
234,10,1,4,1000,500,1800,3200,4800,5000,6000,-19757.652796299044
235,10,1,4,1000,500,1800,3200,4800,5000,6500,-19757.37025530099
236,10,1,4,1000,500,1800,3200,4800,5000,7000,-19756.387091747154
237,10,1,4,1000,500,1800,3200,4800,5500,6000,-19757.925170805654
238,10,1,4,1000,500,1800,3200,4800,5500,6500,-19758.12208943758
239,10,1,4,1000,500,1800,3200,4800,5500,7000,-19757.59140611913
240,10,1,4,1000,500,1800,3200,4800,6000,6000,-19757.192281444783
241,10,1,4,1000,500,1800,3200,4800,6000,6500,-19757.817121348635
242,10,1,4,1000,500,1800,3200,4800,6000,7000,-19757.690279992577
243,10,1,4,1000,700,900,2300,3800,5000,6000,-19852.388966808743
244,10,1,4,1000,700,900,2300,3800,5000,6500,-19852.10642581069
245,10,1,4,1000,700,900,2300,3800,5000,7000,-19851.12326225686
246,10,1,4,1000,700,900,2300,3800,5500,6000,-19851.2511390808
247,10,1,4,1000,700,900,2300,3800,5500,6500,-19851.44805771273
248,10,1,4,1000,700,900,2300,3800,5500,7000,-19850.917374394285
249,10,1,4,1000,700,900,2300,3800,6000,6000,-19849.201389426053
250,10,1,4,1000,700,900,2300,3800,6000,6500,-19849.826229329912
251,10,1,4,1000,700,900,2300,3800,6000,7000,-19849.699387973837
252,10,1,4,1000,700,900,2300,4400,5000,6000,-19848.75162469383
253,10,1,4,1000,700,900,2300,4400,5000,6500,-19848.46908369577
254,10,1,4,1000,700,900,2300,4400,5000,7000,-19847.485920141946
255,10,1,4,1000,700,900,2300,4400,5500,6000,-19848.508288867437
256,10,1,4,1000,700,900,2300,4400,5500,6500,-19848.70520749936
257,10,1,4,1000,700,900,2300,4400,5500,7000,-19848.17452418092
258,10,1,4,1000,700,900,2300,4400,6000,6000,-19847.29382427995
259,10,1,4,1000,700,900,2300,4400,6000,6500,-19847.91866418381
260,10,1,4,1000,700,900,2300,4400,6000,7000,-19847.79182282774
261,10,1,4,1000,700,900,2300,4800,5000,6000,-19845.24331956272
262,10,1,4,1000,700,900,2300,4800,5000,6500,-19844.960778564666
263,10,1,4,1000,700,900,2300,4800,5000,7000,-19843.97761501083
264,10,1,4,1000,700,900,2300,4800,5500,6000,-19845.51569406933
265,10,1,4,1000,700,900,2300,4800,5500,6500,-19845.712612701253
266,10,1,4,1000,700,900,2300,4800,5500,7000,-19845.181929382805
267,10,1,4,1000,700,900,2300,4800,6000,6000,-19844.782804708466
268,10,1,4,1000,700,900,2300,4800,6000,6500,-19845.407644612314
269,10,1,4,1000,700,900,2300,4800,6000,7000,-19845.280803256246
270,10,1,4,1000,700,900,2800,3800,5000,6000,-19843.420922512665
271,10,1,4,1000,700,900,2800,3800,5000,6500,-19843.138381514607
272,10,1,4,1000,700,900,2800,3800,5000,7000,-19842.15521796078
273,10,1,4,1000,700,900,2800,3800,5500,6000,-19842.283094784718
274,10,1,4,1000,700,900,2800,3800,5500,6500,-19842.480013416647
275,10,1,4,1000,700,900,2800,3800,5500,7000,-19841.949330098203
276,10,1,4,1000,700,900,2800,3800,6000,6000,-19840.23334512997
277,10,1,4,1000,700,900,2800,3800,6000,6500,-19840.858185033834
278,10,1,4,1000,700,900,2800,3800,6000,7000,-19840.731343677762
279,10,1,4,1000,700,900,2800,4400,5000,6000,-19841.737436690764
280,10,1,4,1000,700,900,2800,4400,5000,6500,-19841.45489569271
281,10,1,4,1000,700,900,2800,4400,5000,7000,-19840.47173213887
282,10,1,4,1000,700,900,2800,4400,5500,6000,-19841.494100864362
283,10,1,4,1000,700,900,2800,4400,5500,6500,-19841.6910194963
284,10,1,4,1000,700,900,2800,4400,5500,7000,-19841.160336177843
285,10,1,4,1000,700,900,2800,4400,6000,6000,-19840.279636276882
286,10,1,4,1000,700,900,2800,4400,6000,6500,-19840.904476180738
287,10,1,4,1000,700,900,2800,4400,6000,7000,-19840.777634824666
288,10,1,4,1000,700,900,2800,4800,5000,6000,-19839.422833056928
289,10,1,4,1000,700,900,2800,4800,5000,6500,-19839.140292058863
290,10,1,4,1000,700,900,2800,4800,5000,7000,-19838.157128505038
291,10,1,4,1000,700,900,2800,4800,5500,6000,-19839.695207563538
292,10,1,4,1000,700,900,2800,4800,5500,6500,-19839.89212619546
293,10,1,4,1000,700,900,2800,4800,5500,7000,-19839.361442877012
294,10,1,4,1000,700,900,2800,4800,6000,6000,-19838.962318202666
295,10,1,4,1000,700,900,2800,4800,6000,6500,-19839.587158106522
296,10,1,4,1000,700,900,2800,4800,6000,7000,-19839.460316750454
297,10,1,4,1000,700,900,3200,3800,5000,6000,-19834.144607721733
298,10,1,4,1000,700,900,3200,3800,5000,6500,-19833.862066723686
299,10,1,4,1000,700,900,3200,3800,5000,7000,-19832.878903169847
300,10,1,4,1000,700,900,3200,3800,5500,6000,-19833.006779993793
301,10,1,4,1000,700,900,3200,3800,5500,6500,-19833.20369862572
302,10,1,4,1000,700,900,3200,3800,5500,7000,-19832.67301530727
303,10,1,4,1000,700,900,3200,3800,6000,6000,-19830.957030339046
304,10,1,4,1000,700,900,3200,3800,6000,6500,-19831.581870242902
305,10,1,4,1000,700,900,3200,3800,6000,7000,-19831.45502888683
306,10,1,4,1000,700,900,3200,4400,5000,6000,-19833.734134472736
307,10,1,4,1000,700,900,3200,4400,5000,6500,-19833.451593474678
308,10,1,4,1000,700,900,3200,4400,5000,7000,-19832.46842992085
309,10,1,4,1000,700,900,3200,4400,5500,6000,-19833.490798646337
310,10,1,4,1000,700,900,3200,4400,5500,6500,-19833.68771727827
311,10,1,4,1000,700,900,3200,4400,5500,7000,-19833.15703395982
312,10,1,4,1000,700,900,3200,4400,6000,6000,-19832.27633405885
313,10,1,4,1000,700,900,3200,4400,6000,6500,-19832.90117396271
314,10,1,4,1000,700,900,3200,4400,6000,7000,-19832.774332606645
315,10,1,4,1000,700,900,3200,4800,5000,6000,-19832.19727330632
316,10,1,4,1000,700,900,3200,4800,5000,6500,-19831.914732308273
317,10,1,4,1000,700,900,3200,4800,5000,7000,-19830.931568754433
318,10,1,4,1000,700,900,3200,4800,5500,6000,-19832.46964781293
319,10,1,4,1000,700,900,3200,4800,5500,6500,-19832.666566444852
320,10,1,4,1000,700,900,3200,4800,5500,7000,-19832.13588312641
321,10,1,4,1000,700,900,3200,4800,6000,6000,-19831.736758452065
322,10,1,4,1000,700,900,3200,4800,6000,6500,-19832.361598355918
323,10,1,4,1000,700,900,3200,4800,6000,7000,-19832.234756999842
324,10,1,4,1000,700,1300,2300,3800,5000,6000,-19814.311699331513
325,10,1,4,1000,700,1300,2300,3800,5000,6500,-19814.029158333466
326,10,1,4,1000,700,1300,2300,3800,5000,7000,-19813.045994779626
327,10,1,4,1000,700,1300,2300,3800,5500,6000,-19813.173871603576
328,10,1,4,1000,700,1300,2300,3800,5500,6500,-19813.370790235498
329,10,1,4,1000,700,1300,2300,3800,5500,7000,-19812.840106917047
330,10,1,4,1000,700,1300,2300,3800,6000,6000,-19811.124121948815
331,10,1,4,1000,700,1300,2300,3800,6000,6500,-19811.74896185268
332,10,1,4,1000,700,1300,2300,3800,6000,7000,-19811.622120496606
333,10,1,4,1000,700,1300,2300,4400,5000,6000,-19810.674357216605
334,10,1,4,1000,700,1300,2300,4400,5000,6500,-19810.391816218544
335,10,1,4,1000,700,1300,2300,4400,5000,7000,-19809.40865266471
336,10,1,4,1000,700,1300,2300,4400,5500,6000,-19810.431021390206
337,10,1,4,1000,700,1300,2300,4400,5500,6500,-19810.627940022132
338,10,1,4,1000,700,1300,2300,4400,5500,7000,-19810.097256703688
339,10,1,4,1000,700,1300,2300,4400,6000,6000,-19809.216556802723
340,10,1,4,1000,700,1300,2300,4400,6000,6500,-19809.84139670658
341,10,1,4,1000,700,1300,2300,4400,6000,7000,-19809.714555350503
342,10,1,4,1000,700,1300,2300,4800,5000,6000,-19807.166052085486
343,10,1,4,1000,700,1300,2300,4800,5000,6500,-19806.883511087435
344,10,1,4,1000,700,1300,2300,4800,5000,7000,-19805.900347533596
345,10,1,4,1000,700,1300,2300,4800,5500,6000,-19807.438426592096
346,10,1,4,1000,700,1300,2300,4800,5500,6500,-19807.635345224022
347,10,1,4,1000,700,1300,2300,4800,5500,7000,-19807.10466190557
348,10,1,4,1000,700,1300,2300,4800,6000,6000,-19806.70553723123
349,10,1,4,1000,700,1300,2300,4800,6000,6500,-19807.33037713508
350,10,1,4,1000,700,1300,2300,4800,6000,7000,-19807.20353577902
351,10,1,4,1000,700,1300,2800,3800,5000,6000,-19810.72492674173
352,10,1,4,1000,700,1300,2800,3800,5000,6500,-19810.442385743674
353,10,1,4,1000,700,1300,2800,3800,5000,7000,-19809.45922218984
354,10,1,4,1000,700,1300,2800,3800,5500,6000,-19809.587099013785
355,10,1,4,1000,700,1300,2800,3800,5500,6500,-19809.784017645707
356,10,1,4,1000,700,1300,2800,3800,5500,7000,-19809.253334327263
357,10,1,4,1000,700,1300,2800,3800,6000,6000,-19807.537349359034
358,10,1,4,1000,700,1300,2800,3800,6000,6500,-19808.16218926289
359,10,1,4,1000,700,1300,2800,3800,6000,7000,-19808.035347906818
360,10,1,4,1000,700,1300,2800,4400,5000,6000,-19809.041440919824
361,10,1,4,1000,700,1300,2800,4400,5000,6500,-19808.758899921762
362,10,1,4,1000,700,1300,2800,4400,5000,7000,-19807.775736367934
363,10,1,4,1000,700,1300,2800,4400,5500,6000,-19808.79810509343
364,10,1,4,1000,700,1300,2800,4400,5500,6500,-19808.995023725347
365,10,1,4,1000,700,1300,2800,4400,5500,7000,-19808.464340406903
366,10,1,4,1000,700,1300,2800,4400,6000,6000,-19807.583640505945
367,10,1,4,1000,700,1300,2800,4400,6000,6500,-19808.208480409805
368,10,1,4,1000,700,1300,2800,4400,6000,7000,-19808.081639053726
369,10,1,4,1000,700,1300,2800,4800,5000,6000,-19806.72683728598
370,10,1,4,1000,700,1300,2800,4800,5000,6500,-19806.44429628793
371,10,1,4,1000,700,1300,2800,4800,5000,7000,-19805.461132734094
372,10,1,4,1000,700,1300,2800,4800,5500,6000,-19806.999211792594
373,10,1,4,1000,700,1300,2800,4800,5500,6500,-19807.19613042452
374,10,1,4,1000,700,1300,2800,4800,5500,7000,-19806.665447106076
375,10,1,4,1000,700,1300,2800,4800,6000,6000,-19806.266322431726
376,10,1,4,1000,700,1300,2800,4800,6000,6500,-19806.89116233559
377,10,1,4,1000,700,1300,2800,4800,6000,7000,-19806.764320979513
378,10,1,4,1000,700,1300,3200,3800,5000,6000,-19805.25410506684
